Area,n_measurements,waterbody_type,query,latitude,longitude
"Lower Shannon (D), BLACKWATER (CLARE)_020",101,River,BLACKWATER,51.85,-9.75
"Shannon Estuary North, SPANCELHILL_010",101,River,SPANCELHILL,52.86667,-8.9
"Gweebarra-Sheephaven, Greenan",100,Lake,Greenan,55.08361,-7.81694
"Boyne, MATTOCK_010",100,River,MATTOCK,53.7225,-6.43028
"Slaney _ Wexford Harbour, BLACKLION STREAM (CARLOW)_020",100,River,BLACKLION STREAM,,
"Cork Harbour, Moy Killala, DEEL (CROSSMOLINA)_040",100,River,DEEL,52.61806,-8.98694
"Sligo Bay _ Drowse, OWENMORE (SLIGO)_050",100,River,OWENMORE,54.12034,-9.83337
"Lower Shannon (C), GRANEY (SHANNON)_020",100,River,GRANEY,52.9825,-8.66056
"Sligo Bay _ Drowse, OWENMORE (SLIGO)_030",100,River,OWENMORE,54.12034,-9.83337
"Moy _ Killala Bay, Conn",99,Lake,Conn,54.03345,-9.25829
"Boyne, Ramor",99,Lake,Ramor,53.8275,-7.08694
"Boyne, BLACKWATER (KELLS)_020",99,River,BLACKWATER,51.85,-9.75
"Boyne, MATTOCK_030",99,River,MATTOCK,53.7225,-6.43028
"Newry, Fane, Glyde and Dee, DEE_070",99,River,DEE,53.8825,-6.34972
"Boyne, MATTOCK_020",99,River,MATTOCK,53.7225,-6.43028
"Moy _ Killala Bay, POLLAGH_030",99,River,POLLAGH,53.27667,-7.70806
"Cork Harbour, Moy Killala, SWILLY BURN_010",99,River,SWILLY BURN,54.88806,-7.44917
"Corrib, BALLINDINE_010",99,River,BALLINDINE,53.66667,-8.96667
"Ovoca-Vartry, GLENCULLEN_010",99,River,GLENCULLEN,53.19111,-6.13667
"Upper Shannon (F), MOUNTNUGENT_020",99,River,MOUNTNUGENT,53.81783,-7.2557
"Lower Shannon (C), NENAGH_030",98,River,NENAGH,52.92639,-8.27278
"Lower Shannon (C), NENAGH_070",98,River,NENAGH,52.92639,-8.27278
"Shannon Estuary North, WOOD_020",98,River,WOOD,54.0875,-7.05472
"Shannon Estuary North, BROADFORD_010",98,River,BROADFORD,52.81111,-8.66389
"Lower Shannon (C), CAPPAGH (GALWAY)_010",98,River,CAPPAGH,52.0,-9.4
"Upper Shannon (D), SHIVEN (SOUTH)_050",98,River,SHIVEN,53.51667,-8.45
"Upper Shannon (D), KILLIAN_030",98,River,KILLIAN,53.48333,-8.38333
"Shannon Estuary North, MOYANA_010",98,River,MOYANA,,
"Shannon Estuary North, CLAREEN (FERGUS)_010",98,River,CLAREEN,52.93806,-8.23722
"Mal Bay, KILMIHIL STREAM_010",98,River,KILMIHIL STREAM,,
"Shannon Estuary South, MAIGUE_070",97,River,MAIGUE,52.65667,-8.79778
"Sligo Bay _ Drowse, GRANGE (SLIGO)_010",97,River,GRANGE,52.77444,-8.01194
"Erne, DROWES_010",97,River,DROWES,54.46667,-8.31667
"Mal Bay, ANNAGEERAGH_010",97,River,ANNAGEERAGH,,
"Ovoca-Vartry, AVONBEG_020",97,River,AVONBEG,52.88333,-6.23333
"Cork Harbour, Moy Killala, POLLAGH_030",97,River,POLLAGH,53.27667,-7.70806
"Mal Bay, ANNAGEERAGH_020",97,River,ANNAGEERAGH,,
"Upper Shannon (D), DERRYMULLAN STREAM_020",97,River,DERRYMULLAN STREAM,,
"Lower Shannon (D), KILMASTULLA_050",97,River,KILMASTULLA,52.7775,-8.44833
"Boyne, BOYNE_040",97,River,BOYNE,53.72236,-6.24629
"Lower Shannon (C), YOUGHAL (TIPPERARY)_010",97,River,YOUGHAL,52.89944,-8.30361
"Erriff-Clew Bay, Beltra",97,Lake,Beltra,53.9221,-9.41662
"Lower Shannon (C), NEWTOWN_010",97,River,NEWTOWN,53.65707,-7.03427
"Lower Shannon (C), CAPPAGH (GALWAY)_020",97,River,CAPPAGH,52.0,-9.4
"Moy _ Killala Bay, LOUGHNAMINOO STREAM_010",97,River,LOUGHNAMINOO STREAM,,
"Lower Shannon (C), KILCROW_010",97,River,KILCROW,53.08611,-8.30583
"Shannon Estuary North, SHALLEE_010",96,River,SHALLEE,52.87056,-8.99528
"Mal Bay, INAGH (ENNISTYMON)_040",96,River,INAGH,53.5154,-9.74298
"Slaney _ Wexford Harbour, DERREEN_010",96,River,DERREEN,53.82816,-9.17346
"Lower Shannon (C), OLLATRIM_030",96,River,OLLATRIM,52.87417,-8.18806
"Shannon Estuary South, MAIGUE_090",96,River,MAIGUE,52.65667,-8.79778
"Lower Shannon (C), WOODFORD (GALWAY)_030",96,River,WOODFORD,53.02028,-8.31639
"Ovoca-Vartry, BALLYCREEN BROOK_020",96,River,BALLYCREEN BROOK,52.85551,-6.32248
"Erne, MAGHERY_010",96,River,MAGHERY,54.91667,-8.45
"Mal Bay, DOONBEG_020",96,River,DOONBEG,52.73367,-9.52573
"Moy _ Killala Bay, MOY_100",96,River,MOY,54.18524,-9.1396
"Corrib, Bofin GY",96,Lake,Bofin GY,,
"Cork Harbour, Moy Killala, Conn",96,Lake,Conn,54.03345,-9.25829
"Lough Swilly, Gartan",95,Lake,Gartan,54.99,-7.91667
"Mal Bay, DOONBEG_030",95,River,DOONBEG,52.73367,-9.52573
"Erriff-Clew Bay, Fadda",95,Lake,Fadda,53.27917,-9.45556
"Cork Harbour, Moy Killala, BALLYCREEN BROOK_020",95,River,BALLYCREEN BROOK,52.85551,-6.32248
"Erriff-Clew Bay, Ballynakill",95,Lake,Ballynakill,53.55472,-10.04917
"Ovoca-Vartry, Vartry  Upper",95,Lake,Vartry Upper,,
"Colligan-Mahon, Barrow Suir Nore Estuary",95,Transitional,Barrow Suir Nore Estuary,,
"Suir, Barrow Suir Nore Estuary",95,Transitional,Barrow Suir Nore Estuary,,
"Erriff-Clew Bay, Enask",95,Lake,Enask,,
"Lower Shannon (C), OLLATRIM_050",95,River,OLLATRIM,52.87417,-8.18806
"Galway Bay North, Derryclare",95,Lake,Derryclare,53.46667,-9.76667
"Galway Bay North, Loughaunwillan",95,Lake,Loughaunwillan,,
"Lower Shannon (C), BALLINTOTTY_020",95,River,BALLINTOTTY,52.86194,-8.15444
"Galway Bay North, Nahasleam",95,Lake,Nahasleam,,
"foyal, Nahasleam",95,Lake,Nahasleam,,
"Nore, NORE_160",95,River,NORE,52.42417,-6.95806
"foyal, Loughaunwillan",95,Lake,Loughaunwillan,,
"foyal, Derryclare",95,Lake,Derryclare,53.46667,-9.76667
"foyal, Ballynahinch",95,Lake,Ballynahinch,53.46667,-9.83333
"Lower Shannon (C), NENAGH_050",95,River,NENAGH,52.92639,-8.27278
"Galway Bay North, Ballynahinch",95,Lake,Ballynahinch,53.46667,-9.83333
"Ballyteigue-Bannow, Barrow Suir Nore Estuary",95,Transitional,Barrow Suir Nore Estuary,,
"Lough Swilly, Akibbon",95,Lake,Akibbon,55.0,-7.88333
"Ovoca-Vartry, AVONBEG_010",95,River,AVONBEG,52.88333,-6.23333
"Barrow, Barrow Suir Nore Estuary",95,Transitional,Barrow Suir Nore Estuary,,
"Lee, Cork Harbour and Youghal Bay, LEE (CORK)_080",95,River,LEE,54.53583,-8.05944
"Erriff-Clew Bay, Beaghcauneen",95,Lake,Beaghcauneen,53.45806,-9.98639
"Lough Neagh _ Lower Bann, MOUNTAIN WATER_010",94,River,MOUNTAIN WATER,54.33225,-6.86812
"Galway Bay North, Illauntrasna",94,Lake,Illauntrasna,53.27167,-9.66528
"foyal, Illauntrasna",94,Lake,Illauntrasna,53.27167,-9.66528
"Lower Shannon (B), BUNOW_020",94,River,BUNOW,52.9625,-7.83861
"Lower Shannon (D), ANNAGH (TIPPERARY)_030",94,River,ANNAGH,53.77698,-8.77445
"Lower Shannon (D), ANNAGH (TIPPERARY)_020",94,River,ANNAGH,53.77698,-8.77445
"Cork Harbour, Moy Killala, GLENCULLEN_020",94,River,GLENCULLEN,53.19111,-6.13667
"Erriff-Clew Bay, Pollacappul",94,Lake,Pollacappul,53.55806,-9.87306
"Cork Harbour, Moy Killala, MOY_100",94,River,MOY,54.18524,-9.1396
"Cork Harbour, Moy Killala, LOUGHNAMINOO STREAM_010",94,River,LOUGHNAMINOO STREAM,,
"Suir, MULTEEN_010",94,River,MULTEEN,52.51667,-8.01667
"Lough Neagh _ Lower Bann, MOUNTAIN WATER_030",94,River,MOUNTAIN WATER,54.33225,-6.86812
"Slaney _ Wexford Harbour, DERREEN_100",94,River,DERREEN,53.82816,-9.17346
"Moy _ Killala Bay, SONNAGH (MOY)_010",94,River,SONNAGH,53.98627,-8.90825
"Erne, Unshin",94,Lake,Unshin,54.52028,-8.07917
"Lough Neagh _ Lower Bann, CONAWARY (LOWER)_020",94,River,CONAWARY,,
"Corrib, Loughanillaun Maam Cross",94,Lake,Loughanillaun Maam Cross,,
"Boyne, BLACKWATER (LONGWOOD)_040",94,River,BLACKWATER,51.85,-9.75
"Colligan-Mahon, TAY_030",93,River,TAY,53.10472,-6.26861
"Moy _ Killala Bay, MANULLA_020",93,River,MANULLA,53.83333,-9.18333
"Shannon Estuary South, TARBERT_010",93,River,TARBERT,52.59222,-9.34694
"Boyne, MOYNALTY_010",93,River,MOYNALTY,53.78861,-6.88278
"Lower Shannon (C), WOODFORD (GALWAY)_020",93,River,WOODFORD,53.02028,-8.31639
"Upper Shannon (A), OWENGAR (LEITRIM)_020",93,River,OWENGAR,54.16361,-8.09917
"Moy _ Killala Bay, SWINFORD_010",93,River,SWINFORD,53.93941,-8.94346
"Lower Shannon (B), GOLDEN GROVE STREAM_020",93,River,GOLDEN GROVE STREAM,,
"Moy _ Killala Bay, MANULLA_030",93,River,MANULLA,53.83333,-9.18333
"Erne, Mushlin",93,Lake,Mushlin,53.95361,-7.04833
"Cork Harbour, Moy Killala, LEE (CORK)_080",93,River,LEE,54.53583,-8.05944
"Upper Shannon (F), YELLOW (CASTLEPOLLARD)_020",93,River,YELLOW,53.38556,-7.08361
"Liffey and Dublin Bay, COCK BROOK_010",93,River,COCK BROOK,,
"Ovoca-Vartry, Upper Glendalough",93,Lake,Upper Glendalough,53.00498,-6.35926
"Lower Shannon (D), GROODY_010",93,River,GROODY,52.66861,-8.58833
"Ovoca-Vartry, NEWTOWNMOUNTKENNEDY_010",93,River,NEWTOWNMOUNTKENNEDY,53.09052,-6.11149
"Boyne, CASTLETOWN TARA STREAM_010",93,River,CASTLETOWN TARA STREAM,,
"Ovoca-Vartry, OW_010",92,River,OW,52.85101,-6.34037
"Suir, ANNER_040",92,River,ANNER,52.42472,-7.6375
"Ovoca-Vartry, AUGHRIM (WICKLOW)_020",92,River,AUGHRIM,52.82917,-6.22432
"Ovoca-Vartry, ASKANAGAP STREAM_010",92,River,ASKANAGAP STREAM,,
"Mal Bay, AILLE (CLARE)_020",92,River,AILLE,53.76709,-9.40783
"Liffey and Dublin Bay, BALLYDONNELL BROOK_010",92,River,BALLYDONNELL BROOK,53.15972,-6.41389
"Ovoca-Vartry, AVONBEG_030",92,River,AVONBEG,52.88333,-6.23333
"Liffey and Dublin Bay, KING'S (LIFFEY)_020",92,River,KING'S,53.31528,-7.94722
"Liffey and Dublin Bay, BALLYLOW BROOK_010",92,River,BALLYLOW BROOK,53.16028,-6.41389
"Liffey and Dublin Bay, BALLINAGEE_010",92,River,BALLINAGEE,53.05944,-6.45667
"Ovoca-Vartry, AVONMORE_030",92,River,AVONMORE,52.88333,-6.23333
"Ovoca-Vartry, OW_030",92,River,OW,52.85101,-6.34037
"Ovoca-Vartry, DERRY WATER_010",92,River,DERRY WATER,52.84963,-6.34154
"Ovoca-Vartry, DARGLE_040",92,River,DARGLE,53.27361,-6.26778
"Slaney _ Wexford Harbour, DERRY_010",92,River,DERRY,53.76861,-8.9387
"Ovoca-Vartry, DERRY WATER_030",92,River,DERRY WATER,52.84963,-6.34154
"Cork Harbour, Moy Killala, SONNAGH (MOY)_010",92,River,SONNAGH,53.98627,-8.90825
"Nore, DININ (NORTH)_010",92,River,DININ,52.59611,-6.91889
"Liffey and Dublin Bay, Trim",91,River,Trim,53.555,-6.79167
"Liffey and Dublin Bay, LIFFEY_020",91,River,LIFFEY,53.34556,-6.21694
"Barrow, Trim",91,River,Trim,53.555,-6.79167
"Cork Harbour, Moy Killala, SWINFORD_010",91,River,SWINFORD,53.93941,-8.94346
"Erriff-Clew Bay, BUNOWEN (LOUISBURGH)_030",91,River,BUNOWEN,53.76667,-9.81667
"Corrib, Aille",91,Lake,Aille,53.76709,-9.40783
"Cork Harbour, Moy Killala, ASKANAGAP STREAM_010",91,River,ASKANAGAP STREAM,,
"Suir, AHERLOW_060",91,River,AHERLOW,52.41889,-7.995
"Boyne, Trim",91,River,Trim,53.555,-6.79167
"Nanny-Delvin, Trim",91,River,Trim,53.555,-6.79167
"Moy _ Killala Bay, CHARLESTOWN STREAM_010",91,River,CHARLESTOWN STREAM,,
"Moy _ Killala Bay, MOY_040",91,River,MOY,54.18524,-9.1396
"Nanny-Delvin, RATOATH STREAM_010",90,River,RATOATH STREAM,,
"Nanny-Delvin, FAIRYHOUSE STREAM_010",90,River,FAIRYHOUSE STREAM,,
"Boyne, MOYNALTY_030",90,River,MOYNALTY,53.78861,-6.88278
"Liffey and Dublin Bay, LIFFEY_120",90,River,LIFFEY,53.34556,-6.21694
"Corrib, BLACK (SHRULE)_020",90,River,BLACK,54.08222,-7.14611
"Cork Harbour, Moy Killala, MANULLA_030",90,River,MANULLA,53.83333,-9.18333
"Liffey and Dublin Bay, LIFFEY_130",90,River,LIFFEY,53.34556,-6.21694
"Liffey and Dublin Bay, LIFFEY_010",90,River,LIFFEY,53.34556,-6.21694
"Nore, TULLAROAN STREAM_030",90,River,TULLAROAN STREAM,,
"Corrib, HEADFORD STREAM_010",90,River,HEADFORD STREAM,,
"Boyne, MULLAGH LOUGH STREAM_010",90,River,MULLAGH LOUGH STREAM,,
"Liffey and Dublin Bay, LIFFEY_140",90,River,LIFFEY,53.34556,-6.21694
"Cork Harbour, Moy Killala, MANULLA_020",90,River,MANULLA,53.83333,-9.18333
"Lough Neagh _ Lower Bann, MOUNTAIN WATER_060",90,River,MOUNTAIN WATER,54.33225,-6.86812
"Dunmanus-Bantry-Kenmare, Cloonaghlin",90,Lake,Cloonaghlin,51.87417,-10.01944
"Erne, Sillan",89,Lake,Sillan,54.00222,-6.92222
"Laune-Maine-Dingle Bay, BROWN FLESK_020",89,River,BROWN FLESK,52.19667,-9.56417
"Ovoca-Vartry, GLENCULLEN_020",89,River,GLENCULLEN,53.19111,-6.13667
"Shannon Estuary North, DOONAHA_010",89,River,DOONAHA,52.62338,-9.64684
"Newry, Fane, Glyde and Dee, DEE_080",89,River,DEE,53.8825,-6.34972
"Lough Swilly, SWILLY_030",89,River,SWILLY,55.16667,-7.53333
"Moy _ Killala Bay, TRIMOGE_010",89,River,TRIMOGE,53.91199,-9.02275
"Slaney _ Wexford Harbour, LITTLE SLANEY_010",89,River,LITTLE SLANEY,52.97778,-6.61139
"Lough Swilly, SKEOGE_010",89,River,SKEOGE,,
"Ovoca-Vartry, CLOGHOGE BROOK_010",89,River,CLOGHOGE BROOK,53.08944,-6.26917
"Shannon Estuary North, Gortglass",88,Lake,Gortglass,52.68444,-9.15111
"Liffey and Dublin Bay, CLONSHANBO_010",88,River,CLONSHANBO,53.35167,-6.70306
"Liffey and Dublin Bay, LYREEN_020",88,River,LYREEN,53.38278,-6.62139
"Ovoca-Vartry, Bray Lower",88,Lake,Bray Lower,53.18444,-6.30111
"Suir, ST JOHN'S_020",88,River,ST JOHN'S,53.36415,-6.20558
"Liffey and Dublin Bay, RYE WATER_040",88,River,RYE WATER,53.365,-6.49111
"Tralee Bay-Feale, FEALE_030",88,River,FEALE,52.444,-9.62211
"Dunmanus-Bantry-Kenmare, Inner Bantry Bay",88,Transitional,Inner Bantry Bay,,
"Moy _ Killala Bay, Cong-Robe",88,River,Cong-Robe,,
"Boyne, GLASH_010",88,River,GLASH,54.26611,-9.88803
"Liffey and Dublin Bay, PAINESTOWN_010",88,River,PAINESTOWN,53.28778,-6.61861
"Liffey and Dublin Bay, RATHMORE STREAM_010",88,River,RATHMORE STREAM,,
"Newry, Fane, Glyde and Dee, GLYDE_070",88,River,GLYDE,53.88306,-6.35
"Liffey and Dublin Bay, LYREEN_010",88,River,LYREEN,53.38278,-6.62139
"Liffey and Dublin Bay, MORELL_010",88,River,MORELL,53.30528,-6.61167
"Liffey and Dublin Bay, MORELL_020",88,River,MORELL,53.30528,-6.61167
"Liffey and Dublin Bay, MORELL_030",87,River,MORELL,53.30528,-6.61167
"Gweebarra-Sheephaven, Keel Crotty",87,Lake,Keel Crotty,,
"Mal Bay, Naminna",87,Lake,Naminna,52.78333,-9.2175
"Bandonllen, Ballinhassig East",87,River,Ballinhassig East,,
"Boyne, ATHBOY_060",87,River,ATHBOY,53.59191,-6.88222
"Suir, ANNER_060",87,River,ANNER,52.42472,-7.6375
"Lee, Cork Harbour and Youghal Bay, Ballinhassig East",87,River,Ballinhassig East,,
"Cork Harbour, Moy Killala, TRIMOGE_010",87,River,TRIMOGE,53.91199,-9.02275
"Newry, Fane, Glyde and Dee, PROULES_010",87,River,PROULES,,
"Ovoca-Vartry, NEWTOWNMOUNTKENNEDY_020",87,River,NEWTOWNMOUNTKENNEDY,53.09052,-6.11149
"Moy _ Killala Bay, Belmullet",86,River,Belmullet,54.2228,-10.0308
"Erriff-Clew Bay, Swinford",86,River,Swinford,53.93941,-8.94346
"Moy _ Killala Bay, Swinford",86,River,Swinford,53.93941,-8.94346
"Cork Harbour, Moy Killala, Ballinhassig East",86,River,Ballinhassig East,,
"Sligo Bay _ Drowse, Swinford",86,River,Swinford,53.93941,-8.94346
"Shannon Estuary South, MORNINGSTAR_050",86,River,MORNINGSTAR,52.45028,-8.6825
"Tralee Bay-Feale, Rathmore West",86,River,Rathmore West,,
"Lee, Cork Harbour and Youghal Bay, SULLANE_020",86,River,SULLANE,51.88333,-8.93333
"Laune-Maine-Dingle Bay, Rathmore West",86,River,Rathmore West,,
"Newry, Fane, Glyde and Dee, WHITE (LOUTH)_020",86,River,WHITE,54.1125,-6.97194
"Newry, Fane, Glyde and Dee, PROULES_030",86,River,PROULES,,
"Newry, Fane, Glyde and Dee, GLYDE_060",86,River,GLYDE,53.88306,-6.35
"Erriff-Clew Bay, Belmullet",86,River,Belmullet,54.2228,-10.0308
"Suir, DUAG_020",86,River,DUAG,52.28028,-7.9825
"Nore, KING'S (KILKENNY)_010",86,River,KING'S,53.31528,-7.94722
"Cork Harbour, Moy Killala, Bray Lower",86,Lake,Bray Lower,53.18444,-6.30111
"Nanny-Delvin, BROADMEADOW_010",85,River,BROADMEADOW,,
"Suir, AHERLOW_040",85,River,AHERLOW,52.41889,-7.995
"Newry, Fane, Glyde and Dee, DEE_020",85,River,DEE,53.8825,-6.34972
"Sligo Bay _ Drowse, EASKY_040",85,River,EASKY,54.15667,-8.84944
"Lower Shannon (C), LORRHA STREAM_010",85,River,LORRHA STREAM,,
"Erne, ANNALEE_040",85,River,ANNALEE,54.04,-7.4075
"Tralee Bay-Feale, Outer Tralee Bay",85,Coastal,Outer Tralee Bay,,
"Moy _ Killala Bay, TUBBERCURRY_010",85,River,TUBBERCURRY,54.05,-8.73333
"Suir, AHERLOW_020",85,River,AHERLOW,52.41889,-7.995
"Boyne, KNIGHTSBROOK_020",85,River,KNIGHTSBROOK,53.53229,-6.77584
"Liffey and Dublin Bay, TOLKA_020",85,River,TOLKA,53.35781,-6.23287
"Newry, Fane, Glyde and Dee, KILLARY WATER_020",85,River,KILLARY WATER,,
"Boyne, DEEL (RAHARNEY)_060",85,River,DEEL,52.61806,-8.98694
"Nore, ARRIGLE_030",85,River,ARRIGLE,52.49694,-7.10111
"Nore, ARRIGLE_010",85,River,ARRIGLE,52.49694,-7.10111
"Liffey and Dublin Bay, TOLKA_010",85,River,TOLKA,53.35781,-6.23287
"Suir, SUIR_120",85,River,SUIR,52.27333,-6.99556
"Boyne, CLADY (MEATH)_010",85,River,CLADY,55.05806,-8.31417
"Suir, SUIR_130",85,River,SUIR,52.27333,-6.99556
"Boyne, BLACKWATER (KELLS)_090",85,River,BLACKWATER,51.85,-9.75
"Lee, Cork Harbour and Youghal Bay, DISSOUR_020",85,River,DISSOUR,51.90306,-7.92889
"Lee, Cork Harbour and Youghal Bay, DRIPSEY_020",85,River,DRIPSEY,51.91556,-8.745
"Liffey and Dublin Bay, DUNBOYNE STREAM_010",85,River,DUNBOYNE STREAM,,
"Slaney _ Wexford Harbour, BANN_030",84,River,BANN,52.545,-6.54306
"Boyne, SKANE_020",84,River,SKANE,,
"Boyne, SKANE_030",84,River,SKANE,,
"Boyne, YELLOW (Blackwater Kells)_020",84,River,YELLOW,53.38556,-7.08361
"Slaney _ Wexford Harbour, LASK_020",84,River,LASK,52.67056,-6.36028
"Corrib, Cong-Robe",84,River,Cong-Robe,,
"Nore, STONYFORD STREAM (KILKENNY)_010",84,River,STONYFORD STREAM,,
"Cork Harbour, Moy Killala, SULLANE_020",84,River,SULLANE,51.88333,-8.93333
"Nore, HOLLY PARK STREAM_010",84,River,HOLLY PARK STREAM,,
"Owenavorragh, AUGHBOY (WEXFORD)_010",84,River,AUGHBOY,52.64389,-6.22583
"Suir, DAWN_010",84,River,DAWN,52.2275,-7.3325
"Suir, FIDAGHTA_010",84,River,FIDAGHTA,,
"Nore, CASTLECOMER STREAM_010",84,River,CASTLECOMER STREAM,,
"Nore, DININ (SOUTH)_020",84,River,DININ,52.59611,-6.91889
"Lough Swilly, LEANNAN_060",84,River,LEANNAN,55.05,-7.71667
"Suir, CLODIAGH (PORTLAW)_040",84,River,CLODIAGH,52.29,-7.28583
"Suir, ARA_010",84,River,ARA,52.40556,-7.9475
"Cork Harbour, Moy Killala, DRIPSEY_020",84,River,DRIPSEY,51.91556,-8.745
"Suir, CLODIAGH (PORTLAW)_030",84,River,CLODIAGH,52.29,-7.28583
"Cork Harbour, Moy Killala, Cong-Robe",84,River,Cong-Robe,,
"Owenavorragh, INCH (WEXFORD)_020",84,River,INCH,53.27167,-9.16833
"Nanny-Delvin, MOSNEY_010",84,River,MOSNEY,53.66639,-6.24083
"Lough Neagh _ Lower Bann, SCOTSTOWN_020",84,River,SCOTSTOWN,54.2775,-7.065
"Barrow, DUNRALLY STREAM_020",84,River,DUNRALLY STREAM,,
"Nanny-Delvin, NANNY (MEATH)_020",84,River,NANNY,53.66667,-6.23333
"Boyne, Wilkinstown",83,River,Wilkinstown,53.73556,-6.71306
"Suir, ANNER_020",83,River,ANNER,52.42472,-7.6375
"Lower Shannon (D), BRIDGETOWN (CLARE)_010",83,River,BRIDGETOWN,52.21748,-6.65242
"Upper Shannon (C), Ree",83,Lake,Ree,53.53333,-7.96667
"Slaney _ Wexford Harbour, SOW_030",83,River,SOW,52.37778,-6.45139
"Slaney _ Wexford Harbour, BORO_060",83,River,BORO,52.46778,-6.56111
"Slaney _ Wexford Harbour, URRIN_050",83,River,URRIN,52.49278,-6.56722
"Slaney _ Wexford Harbour, BANN_070",83,River,BANN,52.545,-6.54306
"Boyne, SKANE_040",83,River,SKANE,,
"Boyne, CASTLEJORDAN_030",83,River,CASTLEJORDAN,53.39194,-7.11361
"Lower Shannon (C), DUNIRY_010",83,River,DUNIRY,53.12833,-8.41417
"Erriff-Clew Bay, Knappaghbeg",83,Lake,Knappaghbeg,53.76209,-9.50162
"Suir, CLASHAWLEY_040",83,River,CLASHAWLEY,52.35,-7.46667
"Boyne, BOYCETOWN_010",83,River,BOYCETOWN,53.55084,-6.74318
"Boyne, BOYCETOWN_020",83,River,BOYCETOWN,53.55084,-6.74318
"Owenavorragh, INCH (WEXFORD)_010",83,River,INCH,53.27167,-9.16833
"Suir, CLASHAWLEY_020",83,River,CLASHAWLEY,52.35,-7.46667
"Upper Shannon (A), FEORISH (BALLYFARNON)_010",83,River,FEORISH,54.03333,-8.08333
"Suir, FIDAGHTA_020",83,River,FIDAGHTA,,
"Upper Shannon (E), Ree",83,Lake,Ree,53.53333,-7.96667
"Ovoca-Vartry, POTTER'S_020",83,River,POTTER'S,,
"Suir, SUIR_170",83,River,SUIR,52.27333,-6.99556
"Newry, Fane, Glyde and Dee, Wilkinstown",83,River,Wilkinstown,53.73556,-6.71306
"Cork Harbour, Moy Killala, Swinford",83,River,Swinford,53.93941,-8.94346
"Corrib, Swinford",83,River,Swinford,53.93941,-8.94346
"Colligan-Mahon, DUNHILL_010",83,River,DUNHILL,52.17236,-7.26429
"Nore, MUCKALEE_010",83,River,MUCKALEE,52.74722,-7.24722
"Suir, LINGAUN_040",82,River,LINGAUN,52.35,-7.36667
"Suir, THONOGE_030",82,River,THONOGE,52.33472,-7.90278
"Suir, TAR_020",82,River,TAR,52.28333,-7.83333
"Suir, ANNER_050",82,River,ANNER,52.42472,-7.6375
"Ovoca-Vartry, BALLYDUFF STREAM (WICKLOW)_010",82,River,BALLYDUFF STREAM,,
"Nore, RATHDOWNEY STREAM_010",82,River,RATHDOWNEY STREAM,,
"Slaney _ Wexford Harbour, DOUGLAS (BALLON)_020",82,River,DOUGLAS,52.88333,-6.95
"Suir, SUIR_180",82,River,SUIR,52.27333,-6.99556
"Cork Harbour, Moy Killala, Belmullet",82,River,Belmullet,54.2228,-10.0308
"Nore, BROWNSTOWN (POCOCKE)_010",82,River,BROWNSTOWN,53.13815,-6.84024
"Suir, LINGAUN_050",82,River,LINGAUN,52.35,-7.36667
"Nore, BREGAGH (KILKENNY)_030",82,River,BREGAGH,,
"Nanny-Delvin, HURLEY_030",82,River,HURLEY,,
"Suir, SUIR_010",82,River,SUIR,52.27333,-6.99556
"Tralee Bay-Feale, Big River (Tralee)_010",82,River,Big River,53.36278,-7.28806
"Suir, SUIR_070",82,River,SUIR,52.27333,-6.99556
"Nore, OWVEG (NORE)_030",82,River,OWVEG,52.35,-9.35
"Slaney _ Wexford Harbour, SLANEY_080",81,River,SLANEY,52.65662,-6.65117
"Ballyteigue-Bannow, Ballyglass",81,River,Ballyglass,53.17361,-8.75778
"Slaney _ Wexford Harbour, SOW_020",81,River,SOW,52.37778,-6.45139
"Lower Shannon (B), Tullamore",81,River,Tullamore,53.27722,-7.5775
"Lower Shannon (C), CARRIGAHORIG STREAM_010",81,River,CARRIGAHORIG STREAM,,
"Lower Shannon (C), KILFADDA CASTLE STREAM_010",81,River,KILFADDA CASTLE STREAM,,
"Slaney _ Wexford Harbour, TINNACROSS STREAM_020",81,River,TINNACROSS STREAM,,
"Boyne, CASTLEJORDAN_020",81,River,CASTLEJORDAN,53.39194,-7.11361
"Slaney _ Wexford Harbour, Ballyglass",81,River,Ballyglass,53.17361,-8.75778
"Slaney _ Wexford Harbour, COOLBOY_010",81,River,COOLBOY,52.75944,-6.46028
"Boyne, MOYNALTY_050",81,River,MOYNALTY,53.78861,-6.88278
"Liffey and Dublin Bay, Ballyglass",81,River,Ballyglass,53.17361,-8.75778
"Slaney _ Wexford Harbour, URRIN_030",81,River,URRIN,52.49278,-6.56722
"Slaney _ Wexford Harbour, DOUGLAS (KILTEGAN)_010",81,River,DOUGLAS,52.88333,-6.95
"Nore, MUNSTER_010",81,River,MUNSTER,52.91962,-8.97256
"Lower Shannon (A), Tullamore",81,River,Tullamore,53.27722,-7.5775
"Suir, ANNER_010",81,River,ANNER,52.42472,-7.6375
"Suir, SUIR_050",81,River,SUIR,52.27333,-6.99556
"Suir, SUIR_060",81,River,SUIR,52.27333,-6.99556
"Suir, LINGAUN_010",81,River,LINGAUN,52.35,-7.36667
"Suir, GLENBROOK_010",81,River,GLENBROOK,51.86556,-8.35111
"Owenavorragh, Ballyglass",81,River,Ballyglass,53.17361,-8.75778
"Nore, MUNSTER_030",81,River,MUNSTER,52.91962,-8.97256
