Area,n_measurements,waterbody_type,query,latitude,longitude
"Corrib, BALLYCUIRKE_010",174,River,BALLYCUIRKE,53.32803,-9.1562
"Corrib, CLARE (GALWAY)_040",174,River,CLARE,52.91962,-8.97256
"Nanny-Delvin, NANNY (MEATH)_030",174,River,NANNY,53.66667,-6.23333
"Moy _ Killala Bay, OWENGARVE (SLIGO)_030",174,River,OWENGARVE,53.43333,-9.7
"Upper Shannon (C), SHANNON (Upper)_070",174,River,SHANNON,52.58194,-9.68167
"Suir, SUIR_190",173,River,SUIR,52.27333,-6.99556
"Moy _ Killala Bay, MOY_030",173,River,MOY,54.18524,-9.1396
"Slaney _ Wexford Harbour, URRIN_020",173,River,URRIN,52.49278,-6.56722
"Dunmanus-Bantry-Kenmare, Brin",172,Lake,Brin,51.93333,-9.76667
"Suir, SUIR_140",171,River,SUIR,52.27333,-6.99556
"Cork Harbour, Moy Killala, DARGLE_020",170,River,DARGLE,53.27361,-6.26778
"Sligo Bay _ Drowse, UNSHIN_020",170,River,UNSHIN,54.52028,-8.07917
"Lower Shannon (A), BROSNA_080",169,River,BROSNA,53.16556,-8.075
"Shannon Estuary North, FERGUS_040",169,River,FERGUS,52.95528,-9.18167
"Lower Shannon (A), TULLAMORE_030",169,River,TULLAMORE,53.27722,-7.5775
"Shannon Estuary South, AHAVARRAGA STREAM_010",169,River,AHAVARRAGA STREAM,,
"Ovoca-Vartry, DARGLE_020",169,River,DARGLE,53.27361,-6.26778
"Suir, NIER_020",168,River,NIER,52.27722,-7.78444
"Tralee Bay-Feale, Cam KY",168,Lake,Cam KY,,
"Suir, SUIR_220",167,River,SUIR,52.27333,-6.99556
"Upper Shannon (F), DUNGOLMAN_030",166,River,DUNGOLMAN,,
"Laune-Maine-Dingle Bay, Muckross",166,Lake,Muckross,52.0113,-9.56493
"Corrib, OWENBRIN_020",166,River,OWENBRIN,53.6,-9.43333
"Nore, NORE_250",166,River,NORE,52.42417,-6.95806
"Upper Shannon (F), GAINE_020",166,River,GAINE,,
"Shannon Estuary South, MAHORE_020",166,River,MAHORE,,
"Upper Shannon (D), SUCK_140",166,River,SUCK,53.27222,-8.05306
"Lee, Cork Harbour and Youghal Bay, SHOURNAGH_030",165,River,SHOURNAGH,51.89833,-8.57111
"Ovoca-Vartry, VARTRY_020",165,River,VARTRY,53.00278,-6.05528
"Laune-Maine-Dingle Bay, MAINE_030",165,River,MAINE,52.15,-9.75
